,Unnamed: 0,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
10,151,89315,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Opt-In Panel/Email,4.0,Michigan,11/1/24,11/3/24,,,,,,,216148,1079.0,lv,,lv,,11/3/24 21:49,,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,,False,REP,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.4
11,152,89315,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Opt-In Panel/Email,4.0,Michigan,11/1/24,11/3/24,,,,,,,216148,1079.0,lv,,lv,,11/3/24 21:49,,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,,False,REP,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,47.8
12,196,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215777,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.8
13,197,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215777,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.3
14,198,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215777,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,GRE,Stein,31116,Jill Stein,1.7
15,199,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215777,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,LIB,Oliver,31790,Chase Oliver,0.4
16,200,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215778,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,48.2
17,201,89246,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,,,,,,,215778,1198.0,lv,,lv,,11/2/24 20:35,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.7
18,226,89303,235,InsiderAdvantage,,,InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,,5.0,Michigan,11/1/24,11/2/24,,,,,,,216124,800.0,lv,,lv,,11/3/24 16:26,,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,,,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.3
19,227,89303,235,InsiderAdvantage,,,InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,,5.0,Michigan,11/1/24,11/2/24,,,,,,,216124,800.0,lv,,lv,,11/3/24 16:26,,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,,,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,47.2
20,259,89337,1102,Emerson,"960,1185",The Hill | Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,10/30/24,11/2/24,,,,,,,216220,790.0,lv,,lv,,11/4/24 09:15,,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,,https://docs.google.com/spreadsheets/d/1EKabXuEVK-kB6ke75u_PFdOJeR-jtJnX/edit?rtpof=true&sd=true&gid=1560238424#gid=1560238424,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,50.5
21,260,89337,1102,Emerson,"960,1185",The Hill | Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,10/30/24,11/2/24,,,,,,,216220,790.0,lv,,lv,,11/4/24 09:15,,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,,https://docs.google.com/spreadsheets/d/1EKabXuEVK-kB6ke75u_PFdOJeR-jtJnX/edit?rtpof=true&sd=true&gid=1560238424#gid=1560238424,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,48.9
22,285,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215886,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,44.0
23,286,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215886,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,47.0
24,287,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215887,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,42.0
25,288,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215887,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,44.0
26,289,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215887,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,GRE,Stein,31116,Jill Stein,2.0
27,290,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215887,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,IND,West,31097,Cornel West,1.0
28,291,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215887,998.0,rv,,rv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,LIB,Oliver,31790,Chase Oliver,2.0
29,292,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215888,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.0
30,293,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215888,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,47.0
31,294,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215889,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,45.0
32,295,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215889,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,45.0
33,296,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215889,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,GRE,Stein,31116,Jill Stein,2.0
34,297,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215889,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,IND,West,31097,Cornel West,0.0
35,298,89274,1424,Siena/NYT,,,The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,,,,,,,215889,998.0,lv,,lv,,11/3/24 09:22,,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-toplines.html,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-michigan-poll-crosstabs.html,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,LIB,Oliver,31790,Chase Oliver,1.0
36,348,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,49.0
37,349,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,48.0
38,350,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,IND,Kennedy,31042,Robert F. Kennedy,0.0
39,351,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,LIB,Oliver,31790,Chase Oliver,1.0
40,352,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,GRE,Stein,31116,Jill Stein,1.0
41,353,89312,317,Mitchell,"801,1857",MIRS News Service | Michigan News Source,Mitchell Research & Communications,213,Mitchell Research & Communications,2.4,-0.2,Text-to-Web,7.0,Michigan,10/29/24,11/2/24,,,,,,,216143,585.0,lv,,lv,,11/3/24 21:48,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,,https://mirs-uploads.s3.us-east-2.amazonaws.com/5931-MI%20STATEWIDE%20MITCHELL%20POLL%20-FIELD%20COPY%20-%20%20EXEC%20SUMMARY%20-%20CROSSTABS%20%20OF%20MI%20106PM%20%2011-3-24.pdf,,False,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,IND,West,31097,Cornel West,1.0
